"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 08, 2015","413.84","406.50","414.08","406.49","-","1.92%"
"Jan 07, 2015","406.06","403.62","406.74","403.36","-","0.50%"
"Jan 06, 2015","404.05","408.00","408.02","402.96","-","-0.97%"
"Jan 05, 2015","408.01","414.93","415.18","407.65","-","-1.90%"
"Jan 02, 2015","415.92","417.10","417.61","414.23","-","-0.29%"
"Jan 01, 2015","417.12","417.09","417.12","417.02","-","0.00%"
"Dec 31, 2014","417.12","419.47","420.09","417.03","-","-0.57%"
"Dec 30, 2014","419.52","421.75","421.80","419.43","-","-0.60%"
"Dec 29, 2014","422.05","421.34","422.39","421.06","-","0.19%"
"Dec 26, 2014","421.27","420.53","421.75","420.53","-","0.21%"
"Dec 25, 2014","420.39","420.52","420.86","420.39","-","-0.03%"
"Dec 24, 2014","420.51","420.00","421.15","419.97","-","0.10%"
"Dec 23, 2014","420.08","419.78","420.45","419.29","-","-0.02%"
"Dec 22, 2014","420.15","418.00","420.15","417.99","-","0.47%"
"Dec 19, 2014","418.20","415.57","418.74","415.57","-","0.66%"
"Dec 18, 2014","415.44","406.41","415.60","406.39","-","2.01%"
"Dec 17, 2014","407.27","403.51","407.81","401.60","-","1.01%"
"Dec 16, 2014","403.19","403.88","407.87","401.45","-","-0.10%"
"Dec 15, 2014","403.61","408.82","409.15","403.23","-","-1.26%"
"Dec 12, 2014","408.74","414.66","415.02","408.62","-","-1.35%"
"Dec 11, 2014","414.33","415.28","416.87","413.22","-","-0.11%"
"Dec 10, 2014","414.77","419.73","419.86","414.77","-","-1.30%"
"Dec 09, 2014","420.22","421.98","422.01","417.34","-","-0.36%"
"Dec 08, 2014","421.72","424.44","424.82","421.44","-","-0.71%"
"Dec 05, 2014","424.75","423.97","425.25","423.70","-","0.08%"
"Dec 04, 2014","424.39","424.74","425.77","423.29","-","-0.15%"
"Dec 03, 2014","425.03","423.88","425.04","423.54","-","0.21%"
"Dec 02, 2014","424.14","423.00","424.14","422.73","-","0.31%"
"Dec 01, 2014","422.84","425.39","425.39","422.23","-","-0.70%"
"Nov 28, 2014","425.82","427.04","427.17","425.24","-","-0.35%"
"Nov 27, 2014","427.32","427.87","428.11","427.09","-","-0.16%"
"Nov 26, 2014","428.01","426.61","428.01","426.61","-","0.30%"
"Nov 25, 2014","426.75","426.23","427.55","425.98","-","0.12%"
"Nov 24, 2014","426.24","424.99","426.63","424.99","-","0.22%"
"Nov 21, 2014","425.31","422.07","426.17","421.93","-","0.76%"
"Nov 20, 2014","422.10","421.78","422.24","420.35","-","0.04%"
"Nov 19, 2014","421.93","422.51","422.67","420.57","-","-0.17%"
"Nov 18, 2014","422.64","419.45","423.04","419.38","-","0.72%"
"Nov 17, 2014","419.61","420.63","420.63","418.64","-","-0.17%"
"Nov 14, 2014","420.32","419.86","420.79","419.07","-","0.03%"
"Nov 13, 2014","420.19","419.48","421.35","419.14","-","0.03%"
"Nov 12, 2014","420.08","420.73","421.15","419.00","-","-0.07%"
"Nov 11, 2014","420.37","419.64","420.99","419.41","-","0.07%"
