"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 07, 2018","2,137.57","2,137.20","2,143.06","2,132.60","-","0.04%"
"Jun 06, 2018","2,136.74","2,122.29","2,136.74","2,121.90","-","0.82%"
"Jun 05, 2018","2,119.36","2,121.83","2,123.30","2,115.91","-","-0.12%"
"Jun 04, 2018","2,121.86","2,111.09","2,124.86","2,111.09","-","0.60%"
"Jun 01, 2018","2,109.19","2,092.35","2,110.63","2,090.89","-","0.78%"
"May 31, 2018","2,092.92","2,103.22","2,108.22","2,090.15","-","-0.36%"
"May 30, 2018","2,100.42","2,081.39","2,103.84","2,077.97","-","0.82%"
"May 29, 2018","2,083.27","2,107.10","2,108.02","2,077.35","-","-1.13%"
"May 28, 2018","2,107.14","2,110.78","2,114.11","2,106.66","-","-0.17%"
"May 25, 2018","2,110.80","2,116.65","2,119.32","2,107.83","-","-0.33%"
"May 24, 2018","2,117.73","2,123.11","2,124.79","2,106.95","-","-0.24%"
"May 23, 2018","2,122.90","2,128.95","2,129.17","2,110.59","-","-0.28%"
"May 22, 2018","2,128.78","2,132.80","2,138.86","2,127.85","-","-0.09%"
"May 21, 2018","2,130.72","2,120.28","2,133.99","2,117.99","-","0.47%"
"May 18, 2018","2,120.80","2,125.71","2,127.32","2,117.73","-","-0.22%"
"May 17, 2018","2,125.56","2,125.25","2,131.05","2,120.77","-","0.12%"
"May 16, 2018","2,122.97","2,118.81","2,126.56","2,116.20","-","0.14%"
"May 15, 2018","2,119.98","2,134.24","2,134.76","2,113.58","-","-0.75%"
"May 14, 2018","2,136.09","2,131.91","2,141.59","2,131.69","-","0.19%"
"May 11, 2018","2,131.96","2,125.97","2,134.82","2,125.97","-","0.40%"
"May 10, 2018","2,123.53","2,109.70","2,127.56","2,109.32","-","0.65%"
"May 09, 2018","2,109.84","2,095.94","2,111.58","2,092.40","-","0.70%"
"May 08, 2018","2,095.07","2,097.76","2,099.19","2,088.11","-","-0.09%"
"May 07, 2018","2,096.86","2,090.56","2,102.46","2,088.91","-","0.36%"
"May 04, 2018","2,089.44","2,073.11","2,094.17","2,063.65","-","0.87%"
"May 03, 2018","2,071.37","2,076.35","2,078.87","2,054.08","-","-0.26%"
"May 02, 2018","2,076.69","2,084.17","2,091.26","2,074.10","-","-0.34%"
"May 01, 2018","2,083.77","2,086.09","2,086.30","2,071.41","-","-0.13%"
"Apr 30, 2018","2,086.51","2,096.37","2,102.41","2,086.15","-","-0.46%"
"Apr 27, 2018","2,096.05","2,093.06","2,098.94","2,089.45","-","0.17%"
"Apr 26, 2018","2,092.44","2,077.44","2,096.32","2,076.28","-","0.76%"
"Apr 25, 2018","2,076.74","2,082.08","2,082.11","2,063.33","-","-0.23%"
"Apr 24, 2018","2,081.52","2,097.32","2,105.10","2,075.56","-","-0.75%"
"Apr 23, 2018","2,097.22","2,098.88","2,102.92","2,090.81","-","-0.12%"
"Apr 20, 2018","2,099.73","2,112.91","2,113.56","2,095.35","-","-0.77%"
"Apr 19, 2018","2,115.93","2,123.92","2,125.25","2,108.79","-","-0.37%"
"Apr 18, 2018","2,123.77","2,117.59","2,128.01","2,117.50","-","0.35%"
"Apr 17, 2018","2,116.43","2,100.48","2,120.56","2,099.98","-","0.79%"
"Apr 16, 2018","2,099.82","2,089.31","2,104.36","2,089.16","-","0.52%"
"Apr 13, 2018","2,088.98","2,092.43","2,101.73","2,084.39","-","-0.09%"
"Apr 12, 2018","2,090.89","2,081.67","2,096.35","2,078.28","-","0.40%"
"Apr 11, 2018","2,082.57","2,091.05","2,091.25","2,080.23","-","-0.36%"
"Apr 10, 2018","2,090.11","2,061.71","2,094.49","2,061.53","-","1.40%"
"Apr 09, 2018","2,061.19","2,053.12","2,080.96","2,052.83","-","0.41%"
"Apr 06, 2018","2,052.78","2,081.86","2,082.76","2,045.41","-","-1.34%"
"Apr 05, 2018","2,080.69","2,062.64","2,085.19","2,061.98","-","0.94%"
"Apr 04, 2018","2,061.31","2,049.92","2,063.18","2,027.01","-","0.61%"
"Apr 03, 2018","2,048.80","2,036.66","2,050.91","2,029.39","-","0.50%"
"Apr 02, 2018","2,038.54","2,067.54","2,069.07","2,026.15","-","-1.37%"
"Mar 30, 2018","2,066.85","2,067.02","2,068.39","2,066.47","-","0.06%"
"Mar 29, 2018","2,065.53","2,044.93","2,073.79","2,044.73","-","0.87%"
"Mar 28, 2018","2,047.75","2,056.57","2,059.80","2,038.98","-","-0.38%"
"Mar 27, 2018","2,055.55","2,069.38","2,085.75","2,048.72","-","-0.66%"
"Mar 26, 2018","2,069.13","2,036.63","2,070.44","2,034.08","-","1.60%"
"Mar 23, 2018","2,036.55","2,074.28","2,074.28","2,035.83","-","-1.76%"
"Mar 22, 2018","2,072.94","2,113.53","2,116.48","2,072.46","-","-1.72%"
"Mar 21, 2018","2,109.18","2,109.99","2,123.85","2,108.97","-","-0.08%"
"Mar 20, 2018","2,110.91","2,110.07","2,114.05","2,107.28","-","0.02%"
"Mar 19, 2018","2,110.40","2,134.66","2,134.92","2,102.33","-","-1.11%"
"Mar 16, 2018","2,134.05","2,132.31","2,139.56","2,131.32","-","0.03%"
"Mar 15, 2018","2,133.35","2,134.68","2,142.39","2,130.26","-","-0.05%"
"Mar 14, 2018","2,134.51","2,144.20","2,150.69","2,132.83","-","-0.47%"
"Mar 13, 2018","2,144.60","2,154.92","2,164.33","2,141.04","-","-0.45%"
"Mar 12, 2018","2,154.26","2,149.35","2,160.90","2,149.35","-","0.23%"
"Mar 09, 2018","2,149.32","2,124.64","2,149.33","2,123.60","-","1.13%"
"Mar 08, 2018","2,125.28","2,116.25","2,125.65","2,116.25","-","0.44%"
"Mar 07, 2018","2,115.98","2,119.02","2,119.39","2,104.26","-","-0.08%"
"Mar 06, 2018","2,117.77","2,106.22","2,120.67","2,106.19","-","0.53%"
"Mar 05, 2018","2,106.58","2,091.09","2,109.19","2,080.99","-","0.80%"
"Mar 02, 2018","2,089.84","2,094.98","2,094.99","2,069.22","-","-0.01%"
"Mar 01, 2018","2,089.98","2,117.37","2,117.45","2,082.99","-","-1.32%"
"Feb 28, 2018","2,117.99","2,140.98","2,144.23","2,117.62","-","-1.05%"
"Feb 27, 2018","2,140.57","2,160.73","2,165.52","2,140.52","-","-0.88%"
"Feb 26, 2018","2,159.67","2,140.18","2,161.35","2,140.02","-","0.88%"
"Feb 23, 2018","2,140.91","2,118.19","2,140.91","2,116.90","-","1.12%"
"Feb 22, 2018","2,117.17","2,115.80","2,131.08","2,109.05","-","-0.06%"
"Feb 21, 2018","2,118.36","2,124.95","2,141.48","2,116.35","-","-0.37%"
"Feb 20, 2018","2,126.22","2,136.13","2,136.59","2,121.09","-","-0.46%"
"Feb 19, 2018","2,135.94","2,136.28","2,141.29","2,135.13","-","-0.09%"
"Feb 16, 2018","2,137.91","2,132.77","2,148.02","2,131.85","-","0.33%"
"Feb 15, 2018","2,130.94","2,108.20","2,132.97","2,108.16","-","1.19%"
"Feb 14, 2018","2,105.86","2,079.96","2,109.26","2,072.44","-","1.21%"
"Feb 13, 2018","2,080.68","2,076.88","2,083.06","2,069.21","-","0.23%"
"Feb 12, 2018","2,075.91","2,051.07","2,084.68","2,050.57","-","1.22%"
"Feb 09, 2018","2,050.90","2,044.73","2,059.61","2,009.60","-","0.29%"
"Feb 08, 2018","2,045.01","2,099.30","2,102.86","2,044.52","-","-2.67%"
"Feb 07, 2018","2,101.07","2,100.31","2,124.05","2,099.17","-","0.11%"
"Feb 06, 2018","2,098.85","2,103.04","2,103.04","2,054.55","-","-0.23%"
"Feb 05, 2018","2,103.64","2,170.44","2,171.20","2,100.65","-","-3.13%"
"Feb 02, 2018","2,171.54","2,213.89","2,214.49","2,171.44","-","-1.85%"
"Feb 01, 2018","2,212.53","2,211.12","2,218.80","2,207.90","-","-0.03%"
"Jan 31, 2018","2,213.24","2,214.13","2,221.63","2,205.36","-","-0.04%"
"Jan 30, 2018","2,214.11","2,234.85","2,234.99","2,212.34","-","-0.90%"
"Jan 29, 2018","2,234.22","2,248.30","2,249.69","2,234.15","-","-0.65%"
"Jan 26, 2018","2,248.93","2,225.45","2,248.93","2,225.45","-","0.65%"
"Jan 25, 2018","2,234.38","2,232.97","2,239.54","2,222.52","-","0.09%"
"Jan 24, 2018","2,232.30","2,230.22","2,242.49","2,227.09","-","0.10%"
"Jan 23, 2018","2,230.05","2,221.06","2,231.25","2,220.93","-","0.41%"
"Jan 22, 2018","2,221.01","2,208.60","2,221.06","2,206.16","-","0.62%"
"Jan 19, 2018","2,207.40","2,197.27","2,207.40","2,196.89","-","0.49%"
"Jan 18, 2018","2,196.73","2,196.41","2,200.70","2,194.55","-","-0.15%"
"Jan 17, 2018","2,199.93","2,189.43","2,202.68","2,185.55","-","0.53%"
"Jan 16, 2018","2,188.39","2,193.53","2,203.01","2,186.75","-","-0.25%"
"Jan 15, 2018","2,193.95","2,188.85","2,194.71","2,188.12","-","0.40%"
"Jan 12, 2018","2,185.31","2,172.16","2,188.59","2,170.65","-","0.62%"
"Jan 11, 2018","2,171.78","2,160.64","2,172.06","2,157.89","-","0.44%"
"Jan 10, 2018","2,162.29","2,161.77","2,165.61","2,155.73","-","0.02%"
"Jan 09, 2018","2,161.78","2,157.32","2,165.56","2,157.32","-","0.18%"
"Jan 08, 2018","2,157.96","2,156.99","2,157.96","2,152.77","-","0.06%"
"Jan 05, 2018","2,156.60","2,143.00","2,157.05","2,142.98","-","0.65%"
"Jan 04, 2018","2,142.75","2,125.15","2,145.77","2,124.90","-","0.80%"
