"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 03, 2016","1,072.13","1,072.17","1,075.29","1,070.30","-","-0.05%"
"Sep 30, 2016","1,072.66","1,070.45","1,074.56","1,062.63","-","0.20%"
"Sep 29, 2016","1,070.57","1,075.46","1,078.62","1,068.67","-","-0.32%"
"Sep 28, 2016","1,074.00","1,071.11","1,075.64","1,067.65","-","0.34%"
"Sep 27, 2016","1,070.35","1,066.74","1,071.67","1,064.32","-","0.30%"
"Sep 26, 2016","1,067.13","1,076.54","1,076.79","1,066.74","-","-0.88%"
"Sep 23, 2016","1,076.60","1,082.15","1,082.26","1,076.19","-","-0.59%"
"Sep 22, 2016","1,082.98","1,073.16","1,084.43","1,073.16","-","1.18%"
"Sep 21, 2016","1,070.30","1,059.09","1,073.29","1,058.57","-","1.07%"
"Sep 20, 2016","1,058.94","1,058.25","1,063.04","1,058.25","-","-0.01%"
"Sep 19, 2016","1,059.08","1,053.16","1,063.12","1,053.16","-","0.53%"
"Sep 16, 2016","1,053.53","1,059.13","1,060.09","1,050.91","-","-0.45%"
"Sep 15, 2016","1,058.30","1,050.66","1,059.96","1,049.20","-","0.70%"
"Sep 14, 2016","1,050.93","1,050.80","1,056.53","1,049.75","-","-0.13%"
"Sep 13, 2016","1,052.34","1,066.47","1,066.66","1,049.15","-","-1.15%"
"Sep 12, 2016","1,064.53","1,061.27","1,066.69","1,051.45","-","0.15%"
"Sep 09, 2016","1,062.97","1,084.39","1,084.57","1,062.66","-","-2.11%"
"Sep 08, 2016","1,085.93","1,086.84","1,089.11","1,083.47","-","-0.13%"
"Sep 07, 2016","1,087.39","1,086.41","1,088.09","1,084.82","-","0.16%"
"Sep 06, 2016","1,085.70","1,079.14","1,086.66","1,079.14","-","0.62%"
"Sep 05, 2016","1,079.01","1,077.31","1,080.54","1,077.22","-","0.27%"
"Sep 02, 2016","1,076.13","1,068.91","1,077.86","1,068.56","-","0.68%"
"Sep 01, 2016","1,068.88","1,067.21","1,069.47","1,064.43","-","0.20%"
"Aug 31, 2016","1,066.79","1,070.29","1,071.00","1,064.53","-","-0.28%"
"Aug 30, 2016","1,069.83","1,071.55","1,072.58","1,067.35","-","-0.07%"
"Aug 29, 2016","1,070.58","1,067.84","1,072.56","1,066.15","-","-0.10%"
"Aug 26, 2016","1,071.65","1,071.76","1,078.99","1,065.00","-","-0.03%"
"Aug 25, 2016","1,071.95","1,073.65","1,074.34","1,070.86","-","-0.16%"
"Aug 24, 2016","1,073.62","1,078.29","1,079.14","1,072.85","-","-0.51%"
"Aug 23, 2016","1,079.16","1,074.78","1,081.22","1,074.78","-","0.36%"
"Aug 22, 2016","1,075.30","1,074.92","1,075.96","1,071.91","-","-0.02%"
"Aug 19, 2016","1,075.50","1,079.43","1,079.75","1,071.96","-","-0.32%"
"Aug 18, 2016","1,078.95","1,075.22","1,079.71","1,075.00","-","0.40%"
"Aug 17, 2016","1,074.67","1,076.28","1,076.85","1,070.33","-","-0.08%"
"Aug 16, 2016","1,075.55","1,080.20","1,082.42","1,075.55","-","-0.46%"
"Aug 15, 2016","1,080.48","1,076.23","1,081.50","1,075.98","-","0.27%"
"Aug 12, 2016","1,077.55","1,076.17","1,078.62","1,075.19","-","0.07%"
"Aug 11, 2016","1,076.82","1,072.29","1,076.87","1,070.38","-","0.46%"
"Aug 10, 2016","1,071.86","1,071.96","1,075.32","1,071.05","-","-0.02%"
"Aug 09, 2016","1,072.07","1,067.29","1,073.80","1,066.71","-","0.49%"
"Aug 08, 2016","1,066.84","1,064.66","1,068.32","1,064.66","-","0.28%"
"Aug 05, 2016","1,063.86","1,057.92","1,064.35","1,057.85","-","0.58%"
"Aug 04, 2016","1,057.68","1,054.83","1,059.11","1,054.74","-","0.32%"
"Aug 03, 2016","1,054.35","1,055.88","1,055.88","1,050.02","-","-0.25%"
"Aug 02, 2016","1,056.97","1,063.08","1,063.13","1,054.55","-","-0.66%"
"Aug 01, 2016","1,064.01","1,064.34","1,067.74","1,062.67","-","-0.12%"
"Jul 29, 2016","1,065.32","1,057.73","1,066.33","1,057.51","-","0.74%"
"Jul 28, 2016","1,057.50","1,059.21","1,060.20","1,055.14","-","0.10%"
"Jul 27, 2016","1,056.43","1,056.43","1,059.81","1,053.63","-","0.07%"
"Jul 26, 2016","1,055.64","1,053.60","1,057.72","1,052.76","-","0.17%"
"Jul 25, 2016","1,053.85","1,056.01","1,057.66","1,051.87","-","-0.15%"
"Jul 22, 2016","1,055.47","1,054.87","1,055.92","1,052.70","-","0.07%"
"Jul 21, 2016","1,054.75","1,056.19","1,057.90","1,053.64","-","-0.10%"
"Jul 20, 2016","1,055.77","1,050.29","1,056.14","1,049.50","-","0.49%"
"Jul 19, 2016","1,050.59","1,054.03","1,054.16","1,049.17","-","-0.30%"
"Jul 18, 2016","1,053.72","1,051.44","1,054.52","1,050.33","-","0.21%"
"Jul 15, 2016","1,051.51","1,053.39","1,055.07","1,049.88","-","-0.13%"
"Jul 14, 2016","1,052.89","1,046.85","1,054.98","1,046.58","-","0.54%"
"Jul 13, 2016","1,047.21","1,045.82","1,049.01","1,045.63","-","0.20%"
"Jul 12, 2016","1,045.13","1,036.59","1,047.04","1,036.56","-","0.88%"
"Jul 11, 2016","1,036.02","1,026.92","1,037.23","1,026.92","-","1.01%"
"Jul 08, 2016","1,025.69","1,014.60","1,026.81","1,012.60","-","1.05%"
"Jul 07, 2016","1,015.00","1,012.83","1,019.88","1,011.95","-","0.29%"
